Role,Required_Skills
Associate Talent Acquisition Specialist,Recruitment Sourcing Interviewing Employer Branding Communication Applicant Tracking Systems
Talent Acquisition Specialist,Recruitment Sourcing Interviewing Employer Branding Communication Applicant Tracking Systems
Senior Talent Acquisition Specialist,Recruitment Sourcing Interviewing Employer Branding Communication Applicant Tracking Systems Team Leadership Mentoring
Lead Talent Acquisition Specialist,Recruitment Sourcing Interviewing Employer Branding Communication Applicant Tracking Systems Team Leadership Mentoring
Principal Talent Acquisition Specialist,Recruitment Sourcing Interviewing Employer Branding Communication Applicant Tracking Systems Team Leadership Mentoring
Junior Recruiter,Sourcing Interviewing Recruitment Communication Applicant Tracking Systems Negotiation
Associate Recruiter,Sourcing Interviewing Recruitment Communication Applicant Tracking Systems Negotiation
Recruiter,Sourcing Interviewing Recruitment Communication Applicant Tracking Systems Negotiation
Senior Recruiter,Sourcing Interviewing Recruitment Communication Applicant Tracking Systems Negotiation Team Leadership Mentoring
Lead Recruiter,Sourcing Interviewing Recruitment Communication Applicant Tracking Systems Negotiation Team Leadership Mentoring
Principal Recruiter,Sourcing Interviewing Recruitment Communication Applicant Tracking Systems Negotiation Team Leadership Mentoring
Junior Training and Development Specialist,Curriculum Design Training Delivery Coaching Needs Assessment Communication
Associate Training and Development Specialist,Curriculum Design Training Delivery Coaching Needs Assessment Communication
Training and Development Specialist,Curriculum Design Training Delivery Coaching Needs Assessment Communication
Senior Training and Development Specialist,Curriculum Design Training Delivery Coaching Needs Assessment Communication Team Leadership Mentoring
Lead Training and Development Specialist,Curriculum Design Training Delivery Coaching Needs Assessment Communication Team Leadership Mentoring
Principal Training and Development Specialist,Curriculum Design Training Delivery Coaching Needs Assessment Communication Team Leadership Mentoring
Junior Digital Marketing Specialist,SEO SEM Content Marketing Social Media Google Analytics Email Marketing Copywriting
Associate Digital Marketing Specialist,SEO SEM Content Marketing Social Media Google Analytics Email Marketing Copywriting
Digital Marketing Specialist,SEO SEM Content Marketing Social Media Google Analytics Email Marketing Copywriting
Senior Digital Marketing Specialist,SEO SEM Content Marketing Social Media Google Analytics Email Marketing Copywriting Team Leadership Mentoring
Lead Digital Marketing Specialist,SEO SEM Content Marketing Social Media Google Analytics Email Marketing Copywriting Team Leadership Mentoring
Principal Digital Marketing Specialist,SEO SEM Content Marketing Social Media Google Analytics Email Marketing Copywriting Team Leadership Mentoring
Junior SEO Specialist,SEO Keyword Research Google Analytics Content Optimization Link Building Technical SEO
Associate SEO Specialist,SEO Keyword Research Google Analytics Content Optimization Link Building Technical SEO
SEO Specialist,SEO Keyword Research Google Analytics Content Optimization Link Building Technical SEO
Senior SEO Specialist,SEO Keyword Research Google Analytics Content Optimization Link Building Technical SEO Team Leadership Mentoring
Lead SEO Specialist,SEO Keyword Research Google Analytics Content Optimization Link Building Technical SEO Team Leadership Mentoring
Principal SEO Specialist,SEO Keyword Research Google Analytics Content Optimization Link Building Technical SEO Team Leadership Mentoring
Junior Content Marketing Manager,Content Strategy Copywriting SEO Editorial Planning Analytics Social Media
Associate Content Marketing Manager,Content Strategy Copywriting SEO Editorial Planning Analytics Social Media
Content Marketing Manager,Content Strategy Copywriting SEO Editorial Planning Analytics Social Media
Senior Content Marketing Manager,Content Strategy Copywriting SEO Editorial Planning Analytics Social Media Team Leadership Mentoring
Lead Content Marketing Manager,Content Strategy Copywriting SEO Editorial Planning Analytics Social Media Team Leadership Mentoring
Principal Content Marketing Manager,Content Strategy Copywriting SEO Editorial Planning Analytics Social Media Team Leadership Mentoring
Junior Social Media Manager,Social Media Strategy Content Creation Community Management Analytics Copywriting
Associate Social Media Manager,Social Media Strategy Content Creation Community Management Analytics Copywriting
Social Media Manager,Social Media Strategy Content Creation Community Management Analytics Copywriting
Senior Social Media Manager,Social Media Strategy Content Creation Community Management Analytics Copywriting Team Leadership Mentoring
Lead Social Media Manager,Social Media Strategy Content Creation Community Management Analytics Copywriting Team Leadership Mentoring
Principal Social Media Manager,Social Media Strategy Content Creation Community Management Analytics Copywriting Team Leadership Mentoring
Junior Email Marketing Specialist,Email Marketing Copywriting Automation Segmentation Analytics A/B Testing
Associate Email Marketing Specialist,Email Marketing Copywriting Automation Segmentation Analytics A/B Testing
Email Marketing Specialist,Email Marketing Copywriting Automation Segmentation Analytics A/B Testing
Senior Email Marketing Specialist,Email Marketing Copywriting Automation Segmentation Analytics A/B Testing Team Leadership Mentoring
Lead Email Marketing Specialist,Email Marketing Copywriting Automation Segmentation Analytics A/B Testing Team Leadership Mentoring
Principal Email Marketing Specialist,Email Marketing Copywriting Automation Segmentation Analytics A/B Testing Team Leadership Mentoring
Junior Growth Marketer,Growth Hacking Analytics A/B Testing SEO Content Marketing Data Analysis
Associate Growth Marketer,Growth Hacking Analytics A/B Testing SEO Content Marketing Data Analysis
Growth Marketer,Growth Hacking Analytics A/B Testing SEO Content Marketing Data Analysis
Senior Growth Marketer,Growth Hacking Analytics A/B Testing SEO Content Marketing Data Analysis Team Leadership Mentoring
Lead Growth Marketer,Growth Hacking Analytics A/B Testing SEO Content Marketing Data Analysis Team Leadership Mentoring
Principal Growth Marketer,Growth Hacking Analytics A/B Testing SEO Content Marketing Data Analysis Team Leadership Mentoring
Junior Brand Manager,Brand Strategy Marketing Communication Market Research Campaign Management
Associate Brand Manager,Brand Strategy Marketing Communication Market Research Campaign Management
Brand Manager,Brand Strategy Marketing Communication Market Research Campaign Management
Senior Brand Manager,Brand Strategy Marketing Communication Market Research Campaign Management Team Leadership Mentoring
Lead Brand Manager,Brand Strategy Marketing Communication Market Research Campaign Management Team Leadership Mentoring
Principal Brand Manager,Brand Strategy Marketing Communication Market Research Campaign Management Team Leadership Mentoring
Junior Copywriter,Copywriting Content Writing Editing SEO Creative Writing Brand Voice
Associate Copywriter,Copywriting Content Writing Editing SEO Creative Writing Brand Voice
Copywriter,Copywriting Content Writing Editing SEO Creative Writing Brand Voice
Senior Copywriter,Copywriting Content Writing Editing SEO Creative Writing Brand Voice Team Leadership Mentoring
Lead Copywriter,Copywriting Content Writing Editing SEO Creative Writing Brand Voice Team Leadership Mentoring
Principal Copywriter,Copywriting Content Writing Editing SEO Creative Writing Brand Voice Team Leadership Mentoring
Junior Technical Writer,Technical Writing Documentation Editing API Documentation Communication Research
Associate Technical Writer,Technical Writing Documentation Editing API Documentation Communication Research
Technical Writer,Technical Writing Documentation Editing API Documentation Communication Research
Senior Technical Writer,Technical Writing Documentation Editing API Documentation Communication Research Team Leadership Mentoring
Lead Technical Writer,Technical Writing Documentation Editing API Documentation Communication Research Team Leadership Mentoring
Principal Technical Writer,Technical Writing Documentation Editing API Documentation Communication Research Team Leadership Mentoring
Junior Sales Representative,Sales Negotiation CRM Customer Relationship Management Communication Lead Generation
Associate Sales Representative,Sales Negotiation CRM Customer Relationship Management Communication Lead Generation
Sales Representative,Sales Negotiation CRM Customer Relationship Management Communication Lead Generation
Senior Sales Representative,Sales Negotiation CRM Customer Relationship Management Communication Lead Generation Team Leadership Mentoring
Lead Sales Representative,Sales Negotiation CRM Customer Relationship Management Communication Lead Generation Team Leadership Mentoring
Principal Sales Representative,Sales Negotiation CRM Customer Relationship Management Communication Lead Generation Team Leadership Mentoring
Junior Sales Engineer,Technical Sales Product Knowledge Communication CRM Solution Design Presentations
Associate Sales Engineer,Technical Sales Product Knowledge Communication CRM Solution Design Presentations
Sales Engineer,Technical Sales Product Knowledge Communication CRM Solution Design Presentations
Senior Sales Engineer,Technical Sales Product Knowledge Communication CRM Solution Design Presentations Team Leadership Mentoring
Lead Sales Engineer,Technical Sales Product Knowledge Communication CRM Solution Design Presentations Team Leadership Mentoring
Principal Sales Engineer,Technical Sales Product Knowledge Communication CRM Solution Design Presentations Team Leadership Mentoring
Junior Account Manager,Client Relationship Management Communication Negotiation CRM Upselling Account Planning
Associate Account Manager,Client Relationship Management Communication Negotiation CRM Upselling Account Planning
Account Manager,Client Relationship Management Communication Negotiation CRM Upselling Account Planning
Senior Account Manager,Client Relationship Management Communication Negotiation CRM Upselling Account Planning Team Leadership Mentoring
Lead Account Manager,Client Relationship Management Communication Negotiation CRM Upselling Account Planning Team Leadership Mentoring
Principal Account Manager,Client Relationship Management Communication Negotiation CRM Upselling Account Planning Team Leadership Mentoring
Junior Customer Success Manager,Customer Relationship Management Communication Onboarding Retention Strategies CRM Problem Solving
Associate Customer Success Manager,Customer Relationship Management Communication Onboarding Retention Strategies CRM Problem Solving
Customer Success Manager,Customer Relationship Management Communication Onboarding Retention Strategies CRM Problem Solving
Senior Customer Success Manager,Customer Relationship Management Communication Onboarding Retention Strategies CRM Problem Solving Team Leadership Mentoring
Lead Customer Success Manager,Customer Relationship Management Communication Onboarding Retention Strategies CRM Problem Solving Team Leadership Mentoring
Principal Customer Success Manager,Customer Relationship Management Communication Onboarding Retention Strategies CRM Problem Solving Team Leadership Mentoring
Junior Customer Support Specialist,Customer Service Communication Troubleshooting Ticketing Systems Product Knowledge
Associate Customer Support Specialist,Customer Service Communication Troubleshooting Ticketing Systems Product Knowledge
Customer Support Specialist,Customer Service Communication Troubleshooting Ticketing Systems Product Knowledge
Senior Customer Support Specialist,Customer Service Communication Troubleshooting Ticketing Systems Product Knowledge Team Leadership Mentoring
Lead Customer Support Specialist,Customer Service Communication Troubleshooting Ticketing Systems Product Knowledge Team Leadership Mentoring
Principal Customer Support Specialist,Customer Service Communication Troubleshooting Ticketing Systems Product Knowledge Team Leadership Mentoring
Junior Operations Manager,Operations Management Process Improvement Budgeting Team Leadership Logistics
Associate Operations Manager,Operations Management Process Improvement Budgeting Team Leadership Logistics
Operations Manager,Operations Management Process Improvement Budgeting Team Leadership Logistics
Senior Operations Manager,Operations Management Process Improvement Budgeting Team Leadership Logistics Team Leadership Mentoring
Lead Operations Manager,Operations Management Process Improvement Budgeting Team Leadership Logistics Team Leadership Mentoring
Principal Operations Manager,Operations Management Process Improvement Budgeting Team Leadership Logistics Team Leadership Mentoring
Junior Supply Chain Analyst,Supply Chain Management Logistics Data Analysis Forecasting Inventory Management
Associate Supply Chain Analyst,Supply Chain Management Logistics Data Analysis Forecasting Inventory Management
Supply Chain Analyst,Supply Chain Management Logistics Data Analysis Forecasting Inventory Management
Senior Supply Chain Analyst,Supply Chain Management Logistics Data Analysis Forecasting Inventory Management Team Leadership Mentoring
Lead Supply Chain Analyst,Supply Chain Management Logistics Data Analysis Forecasting Inventory Management Team Leadership Mentoring
Principal Supply Chain Analyst,Supply Chain Management Logistics Data Analysis Forecasting Inventory Management Team Leadership Mentoring
Junior Logistics Coordinator,Logistics Inventory Management Scheduling Communication Supply Chain Coordination
Associate Logistics Coordinator,Logistics Inventory Management Scheduling Communication Supply Chain Coordination
Logistics Coordinator,Logistics Inventory Management Scheduling Communication Supply Chain Coordination
Senior Logistics Coordinator,Logistics Inventory Management Scheduling Communication Supply Chain Coordination Team Leadership Mentoring
Lead Logistics Coordinator,Logistics Inventory Management Scheduling Communication Supply Chain Coordination Team Leadership Mentoring
Principal Logistics Coordinator,Logistics Inventory Management Scheduling Communication Supply Chain Coordination Team Leadership Mentoring
Junior Procurement Specialist,Procurement Vendor Management Negotiation Contract Management Supply Chain
Associate Procurement Specialist,Procurement Vendor Management Negotiation Contract Management Supply Chain
Procurement Specialist,Procurement Vendor Management Negotiation Contract Management Supply Chain
Senior Procurement Specialist,Procurement Vendor Management Negotiation Contract Management Supply Chain Team Leadership Mentoring
Lead Procurement Specialist,Procurement Vendor Management Negotiation Contract Management Supply Chain Team Leadership Mentoring
Principal Procurement Specialist,Procurement Vendor Management Negotiation Contract Management Supply Chain Team Leadership Mentoring
Junior Healthcare Data Analyst,SQL Python Data Analysis Healthcare Systems Statistics Reporting Compliance
Associate Healthcare Data Analyst,SQL Python Data Analysis Healthcare Systems Statistics Reporting Compliance
Healthcare Data Analyst,SQL Python Data Analysis Healthcare Systems Statistics Reporting Compliance
Senior Healthcare Data Analyst,SQL Python Data Analysis Healthcare Systems Statistics Reporting Compliance Team Leadership Mentoring
Lead Healthcare Data Analyst,SQL Python Data Analysis Healthcare Systems Statistics Reporting Compliance Team Leadership Mentoring
Principal Healthcare Data Analyst,SQL Python Data Analysis Healthcare Systems Statistics Reporting Compliance Team Leadership Mentoring
Junior Clinical Data Manager,Clinical Trials Data Management Regulatory Compliance SQL Documentation
Associate Clinical Data Manager,Clinical Trials Data Management Regulatory Compliance SQL Documentation
Clinical Data Manager,Clinical Trials Data Management Regulatory Compliance SQL Documentation
Senior Clinical Data Manager,Clinical Trials Data Management Regulatory Compliance SQL Documentation Team Leadership Mentoring
Lead Clinical Data Manager,Clinical Trials Data Management Regulatory Compliance SQL Documentation Team Leadership Mentoring
Principal Clinical Data Manager,Clinical Trials Data Management Regulatory Compliance SQL Documentation Team Leadership Mentoring
Junior Biomedical Engineer,Biomechanics Medical Devices MATLAB Signal Processing Regulatory Compliance
Associate Biomedical Engineer,Biomechanics Medical Devices MATLAB Signal Processing Regulatory Compliance
Biomedical Engineer,Biomechanics Medical Devices MATLAB Signal Processing Regulatory Compliance
Senior Biomedical Engineer,Biomechanics Medical Devices MATLAB Signal Processing Regulatory Compliance Team Leadership Mentoring
Lead Biomedical Engineer,Biomechanics Medical Devices MATLAB Signal Processing Regulatory Compliance Team Leadership Mentoring
Principal Biomedical Engineer,Biomechanics Medical Devices MATLAB Signal Processing Regulatory Compliance Team Leadership Mentoring
Role,Category,Required_Skills
Data Scientist,Technology / IT,Python SQL Machine Learning Statistics Pandas NumPy Data Visualization Jupyter
DevOps Engineer,Technology / IT,AWS Docker Kubernetes CI/CD Automation Linux Terraform Jenkins
Backend Developer,Technology / IT,Java Python SQL APIs Node.js Databases System Design REST
Frontend Developer,Technology / IT,HTML CSS JavaScript React UI Design Responsive Design Accessibility
Cloud Architect,Technology / IT,AWS Azure Cloud Computing Networking Security Automation Terraform Cost Optimization
Machine Learning Engineer,Technology / IT,Python Machine Learning TensorFlow PyTorch Data Pipelines MLOps Statistics
Cybersecurity Analyst,Technology / IT,Network Security Penetration Testing Linux Firewalls Risk Assessment Python Cryptography
Mobile App Developer,Technology / IT,Java Kotlin Swift Mobile UI APIs Android iOS Firebase
Database Administrator,Technology / IT,SQL Database Design Indexing Backup Recovery Performance Tuning Oracle PostgreSQL
Full Stack Developer,Technology / IT,JavaScript React Node.js SQL APIs HTML CSS System Design
UI/UX Designer,Technology / IT,UI Design Wireframing Figma User Research Prototyping Accessibility Visual Design
System Administrator,Technology / IT,Linux Networking Automation Scripting Bash Server Management Security
Network Engineer,Technology / IT,Networking Routing Switching Firewalls Security Cisco Automation
QA Automation Engineer,Technology / IT,Python Selenium Test Automation CI/CD Java Test Planning Debugging
Data Engineer,Technology / IT,Python SQL Data Pipelines ETL Cloud Computing Spark Airflow Databases
AI Research Scientist,Technology / IT,Python Deep Learning PyTorch TensorFlow Research Papers Mathematics Statistics Linear Algebra
NLP Engineer,Technology / IT,Python NLP Transformers PyTorch Text Processing Machine Learning Linguistics
Computer Vision Engineer,Technology / IT,Python OpenCV Deep Learning CNN Image Processing PyTorch TensorFlow
Site Reliability Engineer,Technology / IT,Linux Kubernetes Monitoring Automation Python Incident Management Cloud Computing
Platform Engineer,Technology / IT,Kubernetes Docker CI/CD Automation Cloud Computing Terraform Infrastructure as Code
Blockchain Developer,Technology / IT,Solidity Ethereum Smart Contracts Cryptography Web3 JavaScript Blockchain Architecture
Game Developer,Technology / IT,C++ Unity Unreal Engine C# Game Design 3D Graphics Physics Engines
Embedded Systems Engineer,Technology / IT,C C++ Microcontrollers RTOS Firmware Circuit Design Debugging
Solutions Architect,Technology / IT,Cloud Computing System Design AWS Azure Networking Security Cost Optimization
Data Analyst,Technology / IT,SQL Excel Python Data Visualization Statistics Reporting Power BI Tableau
Business Intelligence Developer,Technology / IT,SQL Power BI Tableau Data Warehousing ETL Data Modeling Reporting
Big Data Engineer,Technology / IT,Hadoop Spark Scala Python SQL Data Pipelines Kafka Cloud Computing
IT Support Specialist,Technology / IT,Troubleshooting Networking Windows Linux Hardware Customer Service Ticketing Systems
IT Project Manager,Technology / IT,Project Management Agile Scrum Budgeting Risk Management Stakeholder Communication
Scrum Master,Technology / IT,Agile Scrum Facilitation Sprint Planning Stakeholder Management Jira Coaching
Product Manager,Technology / IT,Roadmapping Market Research Agile Stakeholder Management Analytics Prioritization
Technical Writer,Technology / IT,Documentation Technical Writing Markdown API Documentation Editing Communication
Release Manager,Technology / IT,CI/CD Automation Version Control Deployment Risk Management Coordination
Software Architect,Technology / IT,System Design Design Patterns Java Python Scalability Microservices API Design
API Developer,Technology / IT,REST GraphQL Node.js Python Authentication Documentation System Design
Salesforce Developer,Technology / IT,Apex Salesforce Visualforce SOQL Lightning Components Integration
SAP Consultant,Technology / IT,SAP ABAP Business Processes Configuration Integration ERP
ERP Specialist,Technology / IT,ERP Systems Business Analysis SQL Process Design Integration Reporting
Robotic Process Automation Developer,Technology / IT,RPA UiPath Automation Anywhere Python Process Analysis Scripting
IT Auditor,Technology / IT,Risk Assessment Compliance Security Auditing Standards SQL Reporting
Penetration Tester,Technology / IT,Ethical Hacking Network Security Python Kali Linux Vulnerability Assessment Reporting
Security Operations Analyst,Technology / IT,SIEM Incident Response Network Security Threat Detection Linux Scripting
Cloud Security Engineer,Technology / IT,AWS Azure Security Compliance IAM Encryption Networking Automation
Identity and Access Management Engineer,Technology / IT,IAM Active Directory Security SSO Authentication Compliance Scripting
Data Privacy Officer,Technology / IT,GDPR Compliance Risk Assessment Data Governance Policy Writing Auditing
Growth Hacker,Technology / IT,Analytics A/B Testing SQL Marketing Automation Python SEO
SEO Specialist,Technology / IT,SEO Keyword Research Analytics Content Strategy Google Search Console Link Building
Digital Marketing Analyst,Technology / IT,Analytics Google Ads SEO SQL Excel Reporting Campaign Management
E-commerce Manager,Technology / IT,E-commerce Platforms Analytics Inventory Management Digital Marketing SEO
CRM Administrator,Technology / IT,Salesforce HubSpot Data Management Automation Reporting Configuration
Technical Support Engineer,Technology / IT,Troubleshooting Networking Linux Customer Communication Scripting Ticketing Systems
Firmware Engineer,Technology / IT,C C++ Embedded Systems Debugging Hardware Interfaces RTOS
Hardware Engineer,Technology / IT,Circuit Design PCB Design Embedded Systems Testing Debugging Schematics
Robotics Engineer,Technology / IT,Python C++ ROS Control Systems Sensors Mechanical Design
Automation Test Engineer,Technology / IT,Selenium Python Java Test Automation CI/CD Debugging Test Planning
Performance Test Engineer,Technology / IT,JMeter Load Testing Python Performance Tuning Scripting Analysis
Release Engineer,Technology / IT,CI/CD Jenkins Automation Version Control Deployment Scripting
Infrastructure Engineer,Technology / IT,Linux Networking Automation Cloud Computing Terraform Monitoring
Storage Engineer,Technology / IT,SAN NAS Backup Recovery Linux Networking Storage Systems
Virtualization Engineer,Technology / IT,VMware Hyper-V Virtualization Networking Automation Storage
Data Warehouse Engineer,Technology / IT,SQL ETL Data Modeling Data Warehousing Cloud Computing Reporting
Analytics Engineer,Technology / IT,SQL dbt Data Modeling Python Data Pipelines Cloud Computing
MLOps Engineer,Technology / IT,Python Docker Kubernetes CI/CD Machine Learning Model Deployment Monitoring
Data Governance Analyst,Technology / IT,Data Governance Compliance SQL Metadata Management Policy Writing
Statistician,Technology / IT,Statistics R Python Data Analysis Hypothesis Testing Reporting
Quantitative Analyst,Technology / IT,Python R Statistics Financial Modeling Mathematics Data Analysis
Actuarial Analyst,Technology / IT,Statistics Excel Risk Modeling Mathematics Insurance Analysis
Bioinformatics Analyst,Technology / IT,Python R Statistics Genomics Data Analysis Biology
Research Data Analyst,Technology / IT,Python R Statistics Data Cleaning Reporting Research Methods
Web Developer,Technology / IT,HTML CSS JavaScript PHP MySQL Responsive Design Version Control
WordPress Developer,Technology / IT,WordPress PHP HTML CSS JavaScript MySQL Plugin Development
Shopify Developer,Technology / IT,Shopify Liquid JavaScript HTML CSS E-commerce API Integration
Magento Developer,Technology / IT,Magento PHP MySQL E-commerce API Integration Debugging
Odoo Developer,Technology / IT,Odoo Python PostgreSQL ERP Customization Integration
Django Developer,Technology / IT,Python Django PostgreSQL REST APIs System Design Testing
Flask Developer,Technology / IT,Python Flask SQL REST APIs System Design Testing
Laravel Developer,Technology / IT,PHP Laravel MySQL REST APIs MVC Architecture Testing
Ruby on Rails Developer,Technology / IT,Ruby Rails SQL REST APIs MVC Architecture Testing
.NET Developer,Technology / IT,C# .NET SQL Server REST APIs System Design Azure
Golang Developer,Technology / IT,Go Concurrency APIs System Design Microservices Testing
Rust Developer,Technology / IT,Rust Systems Programming Memory Safety Performance Optimization Testing
C++ Developer,Technology / IT,C++ Object Oriented Programming Data Structures Algorithms Debugging Performance
Java Developer,Technology / IT,Java Spring Boot SQL APIs Object Oriented Programming System Design
Kotlin Developer,Technology / IT,Kotlin Android SQL APIs Mobile UI Testing
Swift Developer,Technology / IT,Swift iOS Xcode Mobile UI APIs Testing
Flutter Developer,Technology / IT,Dart Flutter Mobile UI APIs Cross Platform Development Testing
React Native Developer,Technology / IT,JavaScript React Native Mobile UI APIs Cross Platform Development
Xamarin Developer,Technology / IT,C# Xamarin Mobile UI APIs Cross Platform Development
Video Game QA Tester,Technology / IT,Test Planning Debugging Bug Tracking Game Design Communication
Technical Recruiter,Technology / IT,Sourcing Communication Technical Screening Interviewing ATS Networking
Chief Information Officer,Technology / IT,Strategic Planning IT Governance Leadership Budgeting Risk Management
Chief Technology Officer,Technology / IT,Technical Strategy Leadership System Design Architecture Innovation
IT Consultant,Technology / IT,System Analysis Consulting Project Management Communication Technical Strategy
Data Center Technician,Technology / IT,Hardware Networking Server Management Troubleshooting Maintenance
Voice/VoIP Engineer,Technology / IT,VoIP Networking SIP Telephony Systems Troubleshooting Automation
Unified Communications Engineer,Technology / IT,VoIP Networking Video Conferencing Systems Troubleshooting Automation
Enterprise Architect,Technology / IT,System Design Business Analysis Cloud Computing Integration Strategy
Integration Engineer,Technology / IT,APIs Middleware ETL System Design Automation Testing
Configuration Manager,Technology / IT,Version Control Automation Documentation Change Management Scripting
IT Compliance Analyst,Technology / IT,Compliance Auditing Risk Assessment Documentation Policy Writing
Digital Forensics Analyst,Technology / IT,Forensics Security Incident Response Evidence Analysis Reporting
Threat Intelligence Analyst,Technology / IT,Threat Analysis Security Research Python Reporting Risk Assessment
Malware Analyst,Technology / IT,Reverse Engineering Malware Analysis Python Assembly Security Research
Application Security Engineer,Technology / IT,Secure Coding Penetration Testing Python Vulnerability Assessment Code Review
Graphic Designer,Design & Creative,Photoshop Illustrator InDesign Typography Branding Layout Design Color Theory
Photoshop Expert,Design & Creative,Photoshop Photo Editing Retouching Compositing Color Correction Layer Masking
Poster Designer,Design & Creative,Photoshop Illustrator Typography Layout Design Color Theory Print Design
Home Designer,Design & Creative,Interior Design Space Planning AutoCAD SketchUp Furniture Layout Color Coordination
Interior Designer,Design & Creative,Space Planning AutoCAD SketchUp 3D Modeling Material Selection Lighting Design
Fashion Designer,Design & Creative,Sketching Pattern Making Textile Knowledge Adobe Illustrator Trend Research Sewing
Industrial Designer,Design & Creative,Sketching 3D Modeling CAD Prototyping Product Design Material Knowledge
Product Designer,Design & Creative,UI Design Wireframing Figma Prototyping User Research Design Systems
Illustrator,Design & Creative,Illustrator Procreate Digital Painting Sketching Character Design Color Theory
Logo Designer,Design & Creative,Illustrator Photoshop Typography Branding Vector Graphics Concept Development
Brand Identity Designer,Design & Creative,Branding Typography Illustrator Photoshop Style Guides Visual Strategy
Motion Graphics Designer,Design & Creative,After Effects Premiere Pro Animation Compositing Storyboarding Video Editing
3D Artist,Design & Creative,Blender Maya ZBrush Texturing Lighting Rendering Modeling
3D Animator,Design & Creative,Maya Blender Rigging Animation Keyframing Storyboarding Rendering
Video Editor,Design & Creative,Premiere Pro Final Cut Pro Color Grading Sound Editing Storytelling Motion Graphics
Photo Retoucher,Design & Creative,Photoshop Lightroom Color Correction Skin Retouching Compositing Detail Editing
Photographer,Design & Creative,Camera Operation Lighting Composition Lightroom Photoshop Editing
Web Designer,Design & Creative,Figma Adobe XD HTML CSS Responsive Design Typography Visual Design
Packaging Designer,Design & Creative,Illustrator Photoshop Print Design Branding Structural Design Typography
Textile Designer,Design & Creative,Pattern Design Illustrator Photoshop Color Theory Fabric Knowledge Print Design
Jewelry Designer,Design & Creative,Sketching CAD 3D Modeling Gemology Metalwork Rendering
Landscape Designer,Design & Creative,AutoCAD SketchUp Plant Knowledge Site Planning 3D Rendering Sustainability
Set Designer,Design & Creative,Sketching Model Making Space Planning Lighting Design Construction Knowledge
Exhibition Designer,Design & Creative,Space Planning 3D Modeling AutoCAD Lighting Design Branding Visual Storytelling
Game Artist,Design & Creative,Photoshop Blender 3D Modeling Texturing Concept Art Character Design
Concept Artist,Design & Creative,Digital Painting Photoshop Procreate Sketching Environment Design Character Design
Character Designer,Design & Creative,Sketching Digital Painting Anatomy Photoshop Procreate Storytelling
Storyboard Artist,Design & Creative,Sketching Storytelling Photoshop Cinematography Sequential Art
Print Designer,Design & Creative,InDesign Illustrator Typography Layout Design Color Theory Print Production
Magazine Layout Designer,Design & Creative,InDesign Typography Layout Design Photo Editing Branding Print Production
Book Cover Designer,Design & Creative,Photoshop Illustrator Typography Concept Development Print Design Branding
Wedding Card Designer,Design & Creative,Photoshop Illustrator Typography Layout Design Print Design Creativity
Social Media Graphics Designer,Design & Creative,Photoshop Canva Illustrator Typography Branding Content Creation
Presentation Designer,Design & Creative,PowerPoint Keynote Layout Design Data Visualization Typography Branding
Infographic Designer,Design & Creative,Illustrator Photoshop Data Visualization Layout Design Typography Storytelling
Tattoo Designer,Design & Creative,Sketching Illustration Line Art Photoshop Creativity Custom Design
Mehendi/Henna Designer,Design & Creative,Freehand Drawing Pattern Design Creativity Fine Motor Skills Cultural Knowledge
Event Decor Designer,Design & Creative,Space Planning Theme Design Color Coordination Vendor Coordination Creativity
Furniture Designer,Design & Creative,Sketching CAD 3D Modeling Material Knowledge Prototyping Ergonomics
Automotive Designer,Design & Creative,Sketching CAD 3D Modeling Clay Modeling Rendering Aerodynamics Knowledge
Toy Designer,Design & Creative,Sketching 3D Modeling Prototyping Material Knowledge Safety Standards Creativity
Sound Designer,Design & Creative,Audio Editing Foley Ableton Live Pro Tools Mixing Sound Effects Creation
Lighting Designer,Design & Creative,Lighting Design AutoCAD Theatrical Lighting Software Color Theory Space Planning
Environment Artist,Design & Creative,Blender Maya Texturing Level Design Lighting World Building
UX Researcher,Design & Creative,User Research Interviews Usability Testing Data Analysis Prototyping Personas
Visual Designer,Design & Creative,Photoshop Illustrator Figma Typography Layout Design Branding
Design Systems Designer,Design & Creative,Figma Design Systems Component Libraries Typography Documentation Collaboration
Calligrapher,Design & Creative,Hand Lettering Typography Ink Techniques Composition Creativity
Muralist,Design & Creative,Painting Sketching Large Scale Composition Color Theory Creativity
Home Decor Consultant,Design & Creative,Color Coordination Furniture Selection Space Planning Client Communication Trend Research
Kitchen Designer,Design & Creative,Space Planning AutoCAD 3D Modeling Material Selection Ergonomics Client Communication
Wallpaper Designer,Design & Creative,Pattern Design Illustrator Photoshop Color Theory Repeat Design Print Production
Ceramic Designer,Design & Creative,Sketching Sculpting Glazing Techniques Material Knowledge Creativity
Costume Designer,Design & Creative,Sketching Pattern Making Textile Knowledge Sewing Historical Research Creativity
Make-up Artist / Design,Design & Creative,Color Theory Skin Knowledge Application Techniques Creativity Client Consultation
NFT/Digital Artist,Design & Creative,Digital Painting Photoshop Procreate Blockchain Basics Concept Development Creativity
